10192 93103	10192 84412
10312 92321	10312 83334
10350 91857	10350 82775
10350 91582	10350 82493
10392 91279	10392 82106
10446 91011	10446 81749
10474 90855	10474 81576
10506 90732	10506 81432
10506 90679	10506 81418
10536 90599	10536 81322
10554 90563	10554 81299
10562 90561	10562 81330
10626 90467	10626 81163
10782 90106	10782 80527
10820 89966	10820 80355
10850 89864	10850 80241
10850 89820	10850 80238
10892 89716	10892 80095
10924 89626	10924 79981
10978 89511	10978 79808
11002 89466	11002 79769
11052 89373	11052 79630
11052 89363	11052 79667
11066 89350	11066 79677
11098 89311	11098 79627
11120 89282	11120 79604
11154 89232	11154 79533
11918 87628	11918 76442
12026 86998	12026 75582
12026 86609	12026 75187
12088 86158	12088 74610
12132 85777	12132 74146
12180 85416	12180 73698
12212 85109	12212 73337
12346 84632	12346 72605
12444 84231	12444 72033
12470 83976	12470 71757
12522 83696	12522 71405
12522 83517	12522 71256
12564 83290	12564 70975
12590 83100	12590 70763
12648 82874	12648 70454
12738 82610	12738 70050
12798 82401	12798 69765
12838 82234	12838 69564
12866 82096	12866 69419
12866 82008	12866 69374
12914 81857	12914 69173
12978 81686	12978 68921
13242 81204	13242 67970
13444 80794	13444 67226
13502 80588	13502 66972
13552 80401	13552 66754
13552 80292	13552 66706
13590 80142	13590 66543
13678 79929	13678 66220
13740 79757	13740 65992
13878 79489	13878 65532
13918 79355	13918 65395
13940 79255	13940 65324
13940 79188	13940 65323
14050 78987	14050 64985
14050 78931	14050 64998
14152 78746	14152 64689
14228 78600	14228 64474
14390 78349	14390 64002
14446 78235	14446 63870
14446 78191	14446 63906
14522 78056	14522 63709
14568 77962	14568 63610
14610 77879	14610 63529
14774 77646	14774 63079
14890 77478	14890 62792
14940 77387	14940 62701
14980 77310	14980 62642
14980 77281	14980 62697
15042 77183	15042 62569
15042 77156	15042 62620
15228 76922	15228 62140
15276 76842	15276 62061
15328 76759	15328 61970
15328 76734	15328 62023
15372 76663	15372 61953
15448 76556	15448 61791
15558 76409	15558 61528
15572 76366	15572 61536
15662 76240	15662 61329
15712 76156	15712 61231
15750 76086	15750 61169
15782 76025	15782 61124
16566 75161	16566 59014
16566 75072	16566 59011
16730 74822	16730 58572
17056 74419	17056 57729
17152 74228	17152 57483
17292 73997	17292 57123
17458 73739	17458 56698
17458 73631	17458 56689
17526 73470	17526 56516
17586 73320	17586 56365
17618 73200	17618 56287
17852 72901	17852 55709
17912 72755	17912 55563
18084 72512	18084 55146
18142 72368	18142 55009
18142 72278	18142 55011
18202 72142	18202 54873
18228 72038	18228 54818
18260 71933	18260 54749
18400 71741	18400 54427
18512 71570	18512 54171
18594 71425	18594 53986
18594 71349	18594 53994
18658 71224	18658 53854
18710 71111	18710 53742
18786 70981	18786 53575
18830 70879	18830 53486
19162 70546	19162 52733
19296 70368	19296 52445
19344 70258	19344 52351
19378 70161	19378 52290
19410 70069	19410 52234
19410 70003	19410 52249
19454 69908	19454 52168
19552 69776	19552 51973
19592 69691	19592 51909
19592 69636	19592 51932
19662 69532	19662 51802
19702 69452	19702 51739
19762 69359	19762 51633
20022 69120	20022 51096
20108 69006	20108 50941
20108 68955	20108 50969
20192 68847	20192 50818
20262 68751	20262 50701
20332 68656	20332 50584
20466 68518	20466 50338
20516 68441	20516 50270
20574 68360	20574 50187
20574 68320	20574 50226
20698 68197	20698 50009
20756 68120	20756 49929
20756 68082	20756 49968
20828 67996	20828 49856
20882 67924	20882 49782
20940 67849	20940 49702
21124 67694	21124 49370
21198 67611	21198 49263
21272 67528	21272 49157
21272 67494	21272 49198
21354 67408	21354 49074
21450 67312	21450 48924
22174 66820	22174 47545
22268 66713	22268 47403
22268 66663	22268 47439
22358 66560	22358 47303
22432 66468	22432 47198
22480 66392	22480 47143
22676 66230	22676 46812
22764 66133	22764 46687
22764 66086	22764 46725
22830 66003	22830 46640
22908 65915	22908 46535
22926 65863	22926 46541
22966 65800	22966 46509
23088 65693	23088 46328
23166 65612	23166 46230
23166 65574	23166 46272
23248 65492	23248 46165
23306 65423	23306 46102
23356 65360	23356 46053
23432 65286	23432 45963
23514 65209	23514 45862
23568 65148	23568 45813
23568 65117	23568 45858
23814 64957	23814 45474
23918 64871	23918 45340
24126 64730	24126 45026
24212 64652	24212 44925
24212 64618	24212 44971
24464 64458	24464 44591
24560 64378	24560 44480
24650 64302	24650 44381
24702 64245	24702 44346
24702 64214	24702 44397
24760 64156	24760 44351
24832 64092	24832 44281
24908 64026	24908 44206
25056 63926	25056 44012
25148 63852	25148 43912
25148 63823	25148 43962
25234 63754	25234 43871
25462 63616	25462 43548
25676 63484	25676 43251
25724 63429	25724 43222
25848 63338	25848 43070
25848 63305	25848 43115
26308 63060	26308 42431
26412 62974	26412 42310
26604 62848	26604 42053
26664 62780	26664 42001
26664 62739	26664 42041
26744 62664	26744 41955
26806 62596	26806 41897
26854 62535	26854 41860
26958 62451	26958 41738
26984 62400	26984 41734
27040 62336	27040 41684
27040 62297	27040 41717
27116 62227	27116 41635
27198 62154	27198 41544
27368 62044	27368 41322
27430 61979	27430 41262
27506 61909	27506 41183
27506 61871	27506 41214
27578 61804	27578 41138
27644 61740	27644 41072
27786 61645	27786 40896
27902 61562	27902 40760
28004 61484	28004 40643
28004 61447	28004 40676
28070 61386	28070 40611
28176 61308	28176 40491
28260 61239	28260 40402
28472 61120	28472 40131
28560 61050	28560 40039
28560 61014	28560 40072
28624 60954	28624 40012
28680 60898	28680 39966
28716 60850	28716 39947
28820 60777	28820 39834
28912 60709	28912 39737
29586 60420	29586 38837
29586 60377	29586 38864
29808 60254	29808 38589
29890 60182	29890 38504
29982 60106	29982 38406
30084 60027	30084 38296
30252 59926	30252 38101
30286 59871	30286 38083
30354 59806	30354 38020
30374 59756	30374 38017
30416 59700	30416 37986
30416 59659	30416 38009
30464 59601	30464 37969
30570 59524	30570 37853
30620 59466	30620 37809
30680 59404	30680 37752
30680 59364	30680 37773
30810 59279	30810 37623
30956 59188	30956 37452
31010 59129	31010 37403
31192 59026	31192 37187
31470 58892	31470 36851
31470 58849	31470 36870
31532 58786	31532 36808
31706 58686	31706 36607
31786 58617	31786 36523
31834 58559	31834 36480
31894 58497	31894 36422
31894 58455	31894 36440
31948 58396	31948 36389
32538 58166	32538 35675
32716 58064	32716 35471
32810 57987	32810 35369
32810 57940	32810 35381
32928 57856	32928 35251
32986 57792	32986 35193
33118 57705	33118 35048
33220 57628	33220 34938
33278 57564	33278 34881
33390 57484	33390 34761
33390 57438	33390 34773
33464 57371	33464 34697
33494 57317	33494 34674
33660 57223	33660 34490
33726 57159	33726 34425
33816 57088	33816 34332
33998 56991	33998 34132
33998 56946	33998 34144
34072 56881	34072 34069
34138 56818	34138 34005
34298 56728	34298 33833
34380 56661	34380 33751
34380 56618	34380 33764
34460 56552	34460 33685
34624 56464	34624 33508
34700 56400	34700 33435
34740 56347	34740 33404
34740 56305	34740 33416
34824 56240	34824 33335
35618 55980	35618 32453
35846 55872	35846 32211
35936 55801	35936 32124
35936 55754	35936 32136
35988 55694	35988 32090
36058 55630	36058 32025
36150 55560	36150 31937
36346 55464	36346 31735
36430 55396	36430 31656
36592 55309	36592 31493
36592 55264	36592 31506
36644 55205	36644 31463
36714 55143	36714 31399
36914 55049	36914 31198
36990 54986	36990 31131
37064 54924	37064 31066
37236 54837	37236 30898
37324 54772	37324 30819
37324 54729	37324 30833
37414 54664	37414 30752
37512 54597	37512 30664
37642 54523	37642 30541
37840 54433	37840 30350
37840 54390	37840 30366
37928 54328	37928 30289
37988 54272	37988 30242
38046 54217	38046 30198
38248 54129	38248 30005
38366 54060	38366 29901
38498 53988	38498 29782
38498 53948	38498 29800
38588 53887	38588 29725
38658 53831	38658 29670
38772 53765	38772 29572
38850 53708	38850 29511
38944 53647	38944 29433
38944 53609	38944 29450
39004 53557	39004 29407
39080 53502	39080 29349
39242 53427	39242 29204
39334 53369	39334 29129
39334 53331	39334 29148
39862 53175	39862 28642
40026 53099	40026 28499
40248 53011	40248 28300
40298 52961	40298 28270
40298 52922	40298 28289
40368 52868	40368 28237
40478 52805	40478 28149
40678 52724	40678 27975
40850 52648	40850 27828
40962 52586	40962 27739
40962 52547	40962 27758
41116 52438	41116 27647
41300 52362	41300 27490
41402 52303	41402 27413
41512 52242	41512 27329
41512 52204	41512 27347
41632 52142	41632 27253
41686 52094	41686 27221
41900 52013	41900 27040
41998 51956	41998 26968
42078 51903	42078 26912
42078 51866	42078 26930
42134 51819	42134 26896
42286 51752	42286 26776
42338 51706	42338 26747
42440 51649	42440 26673
42440 51614	42440 26692
43222 51423	43222 25997
43502 51331	43502 25765
43582 51276	43582 25711
43630 51228	43630 25686
43670 51181	43670 25667
43746 51128	43746 25618
43746 51090	43746 25636
43832 51036	43832 25577
43908 50984	43908 25527
44170 50898	44170 25314
44198 50855	44198 25306
44238 50810	44238 25288
44238 50773	44238 25307
44354 50715	44354 25222
44500 50651	44500 25110
44592 50597	44592 25049
44662 50548	44662 25005
44720 50501	44720 24972
44720 50465	44720 24989
44784 50417	44784 24949
44984 50345	44984 24794
45088 50291	45088 24723
45174 50240	45174 24665
45174 50204	45174 24682
45248 50156	45248 24634
45306 50110	45306 24602
45488 50043	45488 24464
45894 49936	45894 24138
45998 49882	45998 24066
45998 49846	45998 24083
46098 49793	46098 24015
46296 49723	46296 23866
46346 49679	46346 23842
46434 49628	46434 23785
46674 49552	46674 23603
46674 49516	46674 23619
46830 49455	46830 23507
46928 49403	46928 23444
47084 49341	47084 23332
47152 49295	47152 23293
47266 49241	47266 23217
47266 49206	47266 23234
47380 49152	47380 23158
47624 49077	47624 22976
47714 49028	47714 22921
47844 48972	47844 22832
47956 48918	47956 22759
